,location,latitude,longitude,elevation,condition,temperature,humidity,pressure,time
0,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,36.02,0.81,1013.14,1514732400
1,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,35.27,0.81,1012.63,1514736000
2,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,34.12,0.83,1012.54,1514739600
3,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,34.36,0.83,1011.98,1514743200
4,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,34.26,0.81,1011.61,1514746800
5,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,34.09,0.81,1011.77,1514750400
6,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,33.48,0.82,1012.07,1514754000
7,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,33.28,0.8,1012.37,1514757600
8,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,34.85,0.78,1012.95,1514761200
9,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,40.68,0.65,1013.09,1514764800
10,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,45.71,0.56,1013.29,1514768400
11,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,49.62,0.45,1012.46,1514772000
12,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,52.75,0.35,1011.6,1514775600
13,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,54.63,0.3,1010.92,1514779200
14,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,55.25,0.28,1010.92,1514782800
15,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,55.03,0.3,1011.4,1514786400
16,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,53.18,0.31,1011.71,1514790000
17,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,50.47,0.36,1012.48,1514793600
18,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,47.77,0.39,1013.29,1514797200
19,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,45.91,0.42,1013.87,1514800800
20,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,44.71,0.45,1014.04,1514804400
21,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,43.28,0.48,1014.48,1514808000
22,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,42.33,0.5,1014.81,1514811600
23,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,41.56,0.52,1014.77,1514815200
24,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,41.8,0.49,1022.96,1515337200
25,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,41.69,0.49,1022.89,1515340800
26,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,41.04,0.5,1022.27,1515344400
27,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,40.65,0.51,1021.89,1515348000
28,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,39.32,0.54,1021.62,1515351600
29,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,39.24,0.54,1021.21,1515355200
30,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,38.34,0.55,1020.73,1515358800
31,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,38.06,0.57,1020.29,1515362400
32,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,39.11,0.54,1020.54,1515366000
33,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,40.88,0.52,1020.47,1515369600
34,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,41.83,0.5,1020.11,1515373200
35,Tokyo Japan,35.6803997,139.7690174,4.026061058,Overcast,43.23,0.49,1018.28,1515376800
36,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,45.78,0.47,1016.19,1515380400
37,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,47.62,0.48,1014.21,1515384000
38,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,47.1,0.61,1014.04,1515387600
39,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,47.96,0.68,1012.51,1515391200
40,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,48.57,0.68,1011.8,1515394800
41,Tokyo Japan,35.6803997,139.7690174,4.026061058,Possible Drizzle,47.09,0.77,1011.19,1515398400
42,Tokyo Japan,35.6803997,139.7690174,4.026061058,Light Rain,46.58,0.86,1010.59,1515402000
43,Tokyo Japan,35.6803997,139.7690174,4.026061058,Possible Light Rain,45.59,0.87,1009.85,1515405600
44,Tokyo Japan,35.6803997,139.7690174,4.026061058,Possible Light Rain,43.51,0.9,1008.06,1515409200
45,Tokyo Japan,35.6803997,139.7690174,4.026061058,Possible Light Rain,42.69,0.89,1005.38,1515412800
46,Tokyo Japan,35.6803997,139.7690174,4.026061058,Possible Light Rain,41.52,0.9,1004.8,1515416400
47,Tokyo Japan,35.6803997,139.7690174,4.026061058,Possible Light Rain,40.81,0.91,1002.8,1515420000
48,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,35.12,0.55,1029.89,1515942000
49,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,34.13,0.57,1029.5,1515945600
50,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,32.87,0.61,1029.1,1515949200
51,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,32.76,0.61,1028.47,1515952800
52,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,33.58,0.6,1027.91,1515956400
53,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,32.62,0.6,1027.46,1515960000
54,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,32.69,0.59,1027.2,1515963600
55,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,31.91,0.61,1027.19,1515967200
56,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,33.22,0.59,1026.99,1515970800
57,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,36.36,0.54,1026.65,1515974400
58,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,41.4,0.45,1025.99,1515978000
59,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,43.02,0.44,1024.27,1515981600
60,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,46.42,0.41,1022.71,1515985200
61,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,49.81,0.41,1021.05,1515988800
62,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,52.76,0.38,1019.5,1515992400
63,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,52.87,0.37,1019.11,1515996000
64,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,52.88,0.39,1018.99,1515999600
65,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,49.81,0.43,1019.14,1516003200
66,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,46.98,0.48,1019.89,1516006800
67,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,44.54,0.52,1019.67,1516010400
68,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,42.13,0.53,1020.07,1516014000
69,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,41.57,0.54,1019.92,1516017600
70,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,40.54,0.56,1019.9,1516021200
71,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,39.47,0.59,1019.87,1516024800
72,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,41.82,0.51,1019.17,1516546800
73,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,40.98,0.51,1019.05,1516550400
74,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,40.63,0.51,1019.43,1516554000
75,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,40.14,0.51,1019.14,1516557600
76,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,38.94,0.54,1019.27,1516561200
77,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,38.21,0.55,1019.89,1516564800
78,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,38.61,0.57,1020.31,1516568400
79,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,39.12,0.56,1020.76,1516572000
80,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,39.31,0.57,1020.84,1516575600
81,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,38.39,0.62,1021.12,1516579200
82,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,36.7,0.74,1021.14,1516582800
83,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,35.47,0.84,1020.15,1516586400
84,Tokyo Japan,35.6803997,139.7690174,4.026061058,Foggy,34.58,0.89,1018.2,1516590000
85,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,34.58,0.9,1017.35,1516593600
86,Tokyo Japan,35.6803997,139.7690174,4.026061058,Foggy,33.8,0.92,1015.97,1516597200
87,Tokyo Japan,35.6803997,139.7690174,4.026061058,Foggy,33.09,0.94,1015.45,1516600800
88,Tokyo Japan,35.6803997,139.7690174,4.026061058,Foggy,32.72,0.94,1014.63,1516604400
89,Tokyo Japan,35.6803997,139.7690174,4.026061058,Foggy,32.49,0.95,1013.79,1516608000
90,Tokyo Japan,35.6803997,139.7690174,4.026061058,Foggy,31.85,0.95,1013.11,1516611600
91,Tokyo Japan,35.6803997,139.7690174,4.026061058,Possible Flurries,31.54,0.95,1011.26,1516615200
92,Tokyo Japan,35.6803997,139.7690174,4.026061058,Foggy,31.51,0.95,1010.21,1516618800
93,Tokyo Japan,35.6803997,139.7690174,4.026061058,Foggy,32.4,0.94,1009.94,1516622400
94,Tokyo Japan,35.6803997,139.7690174,4.026061058,Foggy,32.86,0.95,1007.81,1516626000
95,Tokyo Japan,35.6803997,139.7690174,4.026061058,Overcast,33.22,0.96,1007.9,1516629600
96,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,32.32,0.65,1008.88,1517151600
97,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,32.11,0.65,1008.32,1517155200
98,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,31.55,0.67,1007.88,1517158800
99,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,32.67,0.65,1007.02,1517162400
100,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,32.25,0.64,1007,1517166000
101,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,30.8,0.67,1006.88,1517169600
102,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,31.01,0.69,1007.23,1517173200
103,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,30.16,0.71,1007.87,1517176800
104,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,32.92,0.67,1008.11,1517180400
105,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,37.54,0.58,1008.24,1517184000
106,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,41.36,0.51,1008.23,1517187600
107,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,44.24,0.45,1007.42,1517191200
108,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,46.15,0.45,1006.29,1517194800
109,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,46.91,0.45,1005.34,1517198400
110,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,47.92,0.46,1004.52,1517202000
111,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,48.36,0.46,1004.54,1517205600
112,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,46.86,0.53,1004.75,1517209200
113,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,45.74,0.58,1004.76,1517212800
114,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,43.64,0.68,1005.62,1517216400
115,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,42.79,0.71,1006.2,1517220000
116,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,42.29,0.73,1006.75,1517223600
117,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,42.24,0.73,1007.02,1517227200
118,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,40.77,0.75,1007.76,1517230800
119,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,38.6,0.83,1008.12,1517234400
120,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,37.9,0.42,1009.45,1517756400
121,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,37.8,0.44,1009.8,1517760000
122,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,36.94,0.48,1010.79,1517763600
123,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,36.25,0.51,1011.1,1517767200
124,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,35.99,0.51,1010.98,1517770800
125,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,35.19,0.52,1011.52,1517774400
126,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,34.48,0.55,1012.24,1517778000
127,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,33.62,0.58,1012.88,1517781600
128,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,35.56,0.55,1013.07,1517785200
129,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,37.91,0.48,1013.09,1517788800
130,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,40.88,0.4,1012.84,1517792400
131,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,43.25,0.36,1012.19,1517796000
132,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,44.7,0.35,1010.76,1517799600
133,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,45.26,0.33,1009.72,1517803200
134,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,45.97,0.34,1008.83,1517806800
135,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,46.08,0.33,1008.42,1517810400
136,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,46.09,0.33,1008.17,1517814000
137,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,44.94,0.35,1008.14,1517817600
138,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,43.34,0.39,1008.44,1517821200
139,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,41.42,0.44,1008.92,1517824800
140,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,40.37,0.5,1008.99,1517828400
141,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,39.33,0.56,1009.56,1517832000
142,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,38.59,0.56,1010.01,1517835600
143,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,36.98,0.58,1010.43,1517839200
144,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,39.5,0.3,1008.26,1518361200
145,Tokyo Japan,35.6803997,139.7690174,4.026061058,Mostly Cloudy,38.66,0.31,1008.36,1518364800
146,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,38.13,0.33,1008.85,1518368400
147,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,37.22,0.35,1008.9,1518372000
148,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,36.27,0.38,1009.38,1518375600
149,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,35.13,0.4,1010.32,1518379200
150,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,34.07,0.41,1010.38,1518382800
151,Tokyo Japan,35.6803997,139.7690174,4.026061058,Partly Cloudy,35.25,0.39,1010.91,1518386400
152,Tokyo Japan,35.6803997,139.7690174,4.026061058,Clear,37,0.38,1011.26,1518390000
